text1,text2,label
"With the progression of global aging, neurological diseases in elderly individuals have aroused widespread interest among researchers. Imbalances in the homeostasis of neuronal microenvironments, including neural progenitor cells and microglia, are the leading cause of worsening neurodegenerative diseases. The aging of various glial cells can further lead to abnormal functions in the central nervous system (CNS). Recent studies have shown that aging plays a vital role in a variety of degenerative diseases, including Huntington's disease (HD). In this manuscript, we describe the molecular mechanisms of aging, the cellular constitution of the neural microenvironment and the progression of aging in various neurodegenerative diseases, providing new targets and perspectives for the clinical treatment of various neurodegenerative diseases.","The continuous evolution of cancer therapy has driven the exploration of novel strategies to improve treatment specificity and efficacy while minimizing adverse effects. This article examines two innovative approaches that offer new directions in targeting cancer cells. The first approach focuses on developing antibodies that specifically bind to peptide/major histocompatibility complex (MHC) complexes, enhancing the precision and effectiveness of immunotherapy. The second approach introduces quinazoline compounds that target and inhibit critical tyrosine kinases in cancer progression. Together, these advancements represent promising strides in the quest to develop more effective and precise cancer therapies, offering promising new avenues for treating resistant and aggressive forms of cancer.",0
"SummaryBackgroundMycobacterium tuberculosis is the main causative agent of tuberculosis. BCG, the only licensed vaccine, provides inadequate protection against pulmonary tuberculosis. Controlled human infection models are useful tools for vaccine development. We aimed to determine a safe dose of aerosol-inhaled live-attenuated Mycobacterium bovis BCG as a surrogate for M tuberculosis infection, then compare the safety and tolerability of infection models established using aerosol-inhaled and intradermally administered BCG.MethodsThis phase 1 controlled human infection trial was conducted at two clinical research facilities in the UK. Healthy, immunocompetent adults aged 18–50 years, who were both M tuberculosis-naive and BCG-naive and had no history of asthma or other respiratory diseases, were eligible for the trial. Participants were initially enrolled into group 1 (receiving the BCG Danish strain); the trial was subsequently paused because of a worldwide shortage of BCG Danish and, after protocol amendment, was restarted using the BCG Bulgaria strain (group 2). After a dose-escalation study, during which participants were sequentially allocated to receive either 1 × 103, 1 × 104, 1 × 105, 1 × 106, or 1 × 107 colony-forming units (CFU) of aerosol BCG, the maximum tolerated dose was selected for the randomised controlled trial. Participants in this trial were randomly assigned (9:12), by variable block randomisation and using sequentially numbered sealed envelopes, to receive aerosol BCG (1 × 107 CFU) and intradermal saline or intradermal BCG (1 × 106 CFU) and aerosol saline. Participants were masked to treatment allocation until day 14. The primary outcome was to compare the safety of a controlled human infection model based on aerosol-inhaled BCG versus one based on intradermally administered BCG, and the secondary outcome was to evaluate BCG recovery in the airways of participants who received aerosol BCG or skin biopsies of participants who received intradermal BCG. BCG was detected by culture and by PCR. The trial is registered at ClinicalTrials.gov, NCT02709278, and is complete.FindingsParticipants were assessed for eligibility between April 7, 2016, and Sept 29, 2018. For group 1, 15 participants were screened, of whom 13 were enrolled and ten completed the study; for group 2, 60 were screened and 33 enrolled, all of whom completed the study. Doses up to 1 × 107 CFU aerosol-inhaled BCG were sufficiently well tolerated. No significant difference was observed in the frequency of adverse events between aerosol and intradermal groups (median percentage of solicited adverse events per participant, post-aerosol vs post-intradermal BCG: systemic 7% [IQR 2–11] vs 4% [1–13], p=0·62; respiratory 7% [1–19] vs 4% [1–9], p=0·56). More severe systemic adverse events occurred in the 2 weeks after aerosol BCG (15 [12%] of 122 reported systemic adverse events) than after intradermal BCG (one [1%] of 94; difference 11% [95% CI 5–17]; p=0·0013), but no difference was observed in the severity of respiratory adverse events (two [1%] of 144 vs zero [0%] of 97; 1% [−1 to 3]; p=0·52). All adverse events after aerosol BCG resolved spontaneously. One serious adverse event was reported—a participant in group 2 was admitted to hospital to receive analgesia for a pre-existing ovarian cyst, which was deemed unrelated to BCG infection. On day 14, BCG was cultured from bronchoalveolar lavage samples after aerosol infection and from skin biopsy samples after intradermal infection.InterpretationThis first-in-human aerosol BCG controlled human infection model was sufficiently well tolerated. Further work will evaluate the utility of this model in assessing vaccine efficacy and identifying potential correlates of protection.FundingBill & Melinda Gates Foundation, Wellcome Trust, National Institute for Health Research Oxford Biomedical Research Centre, Thames Valley Clinical Research Network, and TBVAC2020.","AbstractNecroptosis, a cell death mechanism with the characteristics of both apoptosis and necrosis, is proposed as a promising therapeutic approach for cancer therapy. Induction of necroptosis for cancer therapy may be possible through the regulation of the expression of a key factor gene receptor‐interacting protein kinase‐3 (RIPK3) via in vitro transcription (IVT) mRNA delivery. However, mRNA is susceptible to degradation and has a low delivery efficiency, which highlights the requirement of a proper delivery vehicle for intracellular delivery. Therefore, a new mRNA delivery system based on the nanostructured silica nanoparticles, termed mRNA‐protective nanocage (mPN) has been developed. High‐efficiency expression of RIPK3 and induction of necroptosis is achieved through delivery of RIPK3 IVT mRNA with mPN in vitro and in vivo models. Importantly, the mPN carrying RIPK3 mRNA distributed locally in tumors upon intravascular injection, and successfully induced necroptosis and immune cell infiltration, a hallmark of necroptosis. the suppression of tumor growth in a murine cancer model, demonstrating the synergistic effect of RIPK3 mRNA‐ and immune cell‐mediated therapy is also observed. These findings suggest the potential for anticancer therapy through necroptosis induction and provide a strategy for the development of mRNA‐based nanomedicine.",0
"AbstractBackgroundMSA-2, as an oral molecule for activating STING signaling pathway to cure the tumor entering clinical trials. The toxicity of MSA-2 has aroused wide concern, especially the reproductive toxicity can not be ignored.ObjectivesWe synthesized the STING agonist (MSA-2) and its derivative manganese-MSA-2 (MSA-2-Mn) and investigated the reproductive toxicity.MethodsWe evaluated the reproductive effects of MSA-2 and MSA-2-Mn in female mice under the administration alone and on the reproductive system of male mice in the presence or absence of combined radiation.ResultsResults suggested that MSA-2 and MSA-2-Mn have negligible reproductive toxicity in healthy adults. Conclusions: This provides new ideas to enhance the efficacy of immunotherapy, as well as favorable evidence for future systemic dosing in patients of reproductive age and clinical trials of immunotherapy.","Cancer is a global public health issue and remains one of the leading causes of death in the United States . It is estimated in the US in 2022, about 935,000 new cases of cancer will be diagnosed in women, and the probability of developing invasive cancer is 5.8% for females younger than 50 years old . However, advances in screening programs, diagnostic methods, and therapeutic options have greatly increased the five-year survival rate in reproductive-age women with a variety of cancers. Given the clinical consequences of gonadotoxic cancer therapies, young, female cancer survivors may face compromised fertility, premature ovarian insufficiency, early-onset menopause, and endocrine dysregulation . Gonadotoxic side effects may include decreased oocyte quality within surviving follicles, loss of ovarian follicles, and impaired ovarian function. In reproductive-age women, oocyte quality is an important element for successful clinical pregnancies and healthy offspring as poor-quality oocytes may be a cause of infertility (3–5). Thus, it is critical to determine the quantity and quality of surviving follicles in the ovary after cancer treatment and to assess oocyte quality within those surviving follicles as these are markers for determining the capacity for ovarian function restoration and future fertility, especially for young cancer survivors . The long-term effects of cancer therapeutics on oocyte quality are influenced by factors including, but not limited to, individual patient characteristics (for example age, health history, comorbidities, etc.), disease type, or treatment regimen . These effects may translate clinically into an impaired production of viable oocytes and compromised fertility .",0
"In the rapidly evolving landscape of medical research, the emergence of RNA-based therapeutics is paradigm shifting. It is mainly driven by the molecular adaptability and capacity to provide precision in targeting. The coronavirus disease 2019 pandemic crisis underscored the effectiveness of the mRNA therapeutic development platform and brought it to the forefront of RNA-based interventions. These RNA-based therapeutic approaches can reshape gene expression, manipulate cellular functions, and correct the aberrant molecular processes underlying various diseases. The new technologies hold the potential to engineer and deliver tailored therapeutic agents to tackle genetic disorders, cancers, and infectious diseases in a highly personalized and precisely tuned manner. The review discusses the most recent advancements in the field of mRNA therapeutics for cancer treatment, with a focus on the features of the most utilized RNA-based therapeutic interventions, current pre-clinical and clinical developments, and the remaining challenges in delivery strategies, effectiveness, and safety considerations.","ObjectiveTo analyze the relationship between dual-energy spectral CT and epidermal growth factor receptor (EGFR) mutation status in patients with lung adenocarcinoma.MethodsThe quantitative parameters of spectral CT were analyzed in 208 patients with lung adenocarcinoma. The quantitative parameters including CT40keV and CT70keV values, effective atomic number (Zeff), iodine concentration (IC), water concentration (WC), and the slope of the spectral curve (λ HU) were calculated. Statistical analysis was used to determine the clinical characteristics and quantitative parameters for the diagnosis of EGFR-mutation status. The ROC curves were used to calculate diagnostic efficiency.ResultsSex (p = 0.027) and smoking history (p = 0.019) differed significantly according to the EGFR-mutation status. Spectral CT quantitative parameters (CT40keV and CT70keV values, λ HU, Zeff and IC) differed significantly between the EGFR mutant and the EGFR wild-type groups (p < 0.05) during the arterial phase (AP) and venous phase (VP). However, WC was not statistically different between the two groups (p > 0.05). ROC curve analysis revealed the combination of the significantly different quantitative parameters provided the best diagnostic performance for determining the EGFR-mutation status (AUC: 76.0%) in the AP, while the AUC during the VP was 75.6%.ConclusionThe quantitative parameters of dual-energy spectral CT have potential value for identifying the EGFR-mutation status.",0
"Objective.Social determinants of health (SDOH) impact cancer outcomes. The CDC Social Vulnerability Index (SVI) integrates scores for four neighborhood-based SDOH domains (socioeconomic status, household characteristics, minority status, and housing type/transportation) to assess neighborhood social vulnerability (NSV). While NSV has been associated with overall cancer mortality and lung, breast, colon, and endometrial cancer-specific mortality, the relationship between NSV as defined by the SVI and ovarian cancer outcomes remains unknown.Methods.We used data from 177 patients enrolled in an observational ovarian cancer cohort study from October 2012 through September 2022. All patients underwent debulking surgery and completed an entire course of standard-of-care platinum-based chemotherapy. Follow-up was completed through May 2024. SVI was calculated using census tract at diagnosis. High NSV was defined as SVI in the top quartile of the cohort. Cox proportional hazard models assessed the association between NSV and progression-free (PFS) and overall (OS) survival.Results.After accounting for demographic and clinical factors, high NSV was associated with significantly worse PFS (HR:2.31 [95% CI:1.48–3.61]; P < 0.001) and OS (HR:1.79 [95% CI:1.10–2.92]; P = 0.02), with neighborhood socioeconomic status associated with significantly worse PFS (HR:2.29 [95% CI:1.47–3.56]; P < 0.001) and OS (HR:1.71 [95% CI:1.04–2.80]; P = 0.03). Neighborhood housing type/transportation was also associated with significantly worse PFS (HR:1.65 [95% CI:1.07–2.55]; P = 0.02) and trended towards worse OS (HR:1.43 [95% CI:0.80–2.33]).Conclusion and relevance.Higher neighborhood social vulnerability is associated with worse outcomes among ovarian cancer patients. Validating these results in a population-based cohort and assessing programs to reduce neighborhood social vulnerability to improve ovarian cancer outcomes is warranted.","SUMMARYHuman alphaherpesvirus 1 (HSV-1) is a highly successful neurotropic pathogen that primarily infects the epithelial cells lining the orofacial mucosa. After primary lytic replication in the oral, ocular, and nasal mucosal epithelial cells, HSV-1 establishes life-long latency in neurons within the trigeminal ganglion. Patients with compromised immune systems experience frequent reactivation of HSV-1 from latency, leading to virus entry in the sensory neurons, followed by anterograde transport and lytic replication at the innervated mucosal epithelial surface. Although recurrent infection of the corneal mucosal surface is rare, it can result in a chronic immuno-inflammatory condition called herpetic stromal keratitis (HSK). HSK leads to gradual vision loss and can cause permanent blindness in severe untreated cases. Currently, there is no cure or successful vaccine to prevent latent or recurrent HSV-1 infections, posing a significant clinical challenge to managing HSK and preventing vision loss. The conventional clinical management of HSK primarily relies on anti-virals to suppress HSV-1 replication, anti-inflammatory drugs (such as corticosteroids) to provide symptomatic relief from pain and inflammation, and surgical interventions in more severe cases to replace damaged cornea. However, each clinical treatment strategy has limitations, such as local and systemic drug toxicities and the emergence of anti-viral-resistant HSV-1 strains. In this review, we summarize the factors and immune cells involved in HSK pathogenesis and highlight alternate therapeutic strategies for successful clinical management of HSK. We also discuss the therapeutic potential of immunoregulatory cytokines and immunometabolism modulators as promising HSK therapies against emerging anti-viral-resistant HSV-1 strains.",0
"AimThe aim of this study was to construct and validate a nomogram to predict the 1-, 3- and 5-year overall survival (OS) in external ear melanoma (EEM) patients in the elderly based on the Surveillance, Epidemiology, and End Results (SEER) database.MethodsThe information of patients diagnosed with EEM in the elderly between 2010 and 2014 was downloaded from the SEER database. Univariable and multivariable Cox analyses were carried out to identify the independent characteristics, and the independent factors were further included to construct a nomogram. The discriminative ability and calibration of the nomogram to predict OS were tested using C-index value, and calibration plots. Based on the risk score of the nomogram, the patients were divided into high- and low-risk subgroup. Finally, the survival differences of different subgroups were explored by Kaplan–Meier curves. All statistical analyses were performed by R 4.2.0.ResultsA total of 710 elderly EMM patients were included and randomly divided into training cohort and validation cohort. Univariable Cox regression were used to identify age, race, sex, American Joint Committee on Cancer (AJCC), T, surgery, radiation, chemotherapy, and tumor size as independent risk factors. Then, multivariable Cox model to determine significant risk factors was used to establish the selected factors. A nomogram for predicting the 1-, 3- and 5-year OS was constructed using the independent variables including age, AJCC, T, surgery and chemotherapy. The C-index values were 0.78 (95% CI 0.75–0.81) in training set and 0.72 (95% CI 0.66–0.78) in validation set. The calibration curves were closer to ideal curves indicated the accurate predictive ability of this nomogram. The elderly patients with EEM in the low-risk group showed a longer OS than patients in the high-risk group in both training and validation cohorts.ConclusionsOur study established and validated a novel model to predict 1-, 3- and 5-year OS for EEM. The individualized nomogram has a good prognostic ability and can be used as a new survival prediction tool for the elderly patients with EMM.","BackgroundGastric cancer (GC) remains a global challenge due to its high morbidity and mortality rates especially in Asia as well as poor response to treatment. As a member of the adhesion protein family and transmembrane glycoprotein, EpCAM expressed excessively in cancer cells including GC cells. The database assay showed that EpCAM is excessively expressed and easily mutated in cancers, especially in early stage of GC.MethodsTo explore the roles EpCAM plays in oncogenesis and progression of GC, the expression of EpCAM was deleted in GC cells with CRISPR/Cas9 method, and then the changes of cell proliferation, apoptosis, motility and motility associated microstructures in EpCAM-deleted GC cells (EpCAM-/-SGC7901) were detected to evaluate the rules EpCAM played.ResultsThe results showed that EpCAM deletion caused cell proliferation, motility and the development of motility-relevant microstructures inhibited significantly, apoptotic trend and contact inhibition enhanced in EpCAM-deleted GC cells. The results of western blot suggested that EpCAM modulates the expression of epithelial/endothelial mesenchymal transition (EMT) correlated genes. All results as above indicated that EpCAM plays important roles to enhance the oncogenesis, malignancy and progression as a GC enhancer.ConclusionsCombining our results and published data together, the interaction of EpCAM with other proteins was also discussed and concluded in the discussion. Our results support that EpCAM can be considered as a novel target for the diagnosis and therapy of GC in future.Supplementary InformationThe online version contains supplementary material available at 10.1007/s00432-023-04767-2.",0
"Background:More than 50% of patients with lung cancer are admitted to the hospital while receiving treatment, which is a burden to patients and the healthcare system. This study characterizes the risk factors and outcomes of patients with lung cancer who were admitted to the hospital.Methods:A multidisciplinary oncology care team conducted a retrospective medical record review of patients with lung cancer admitted in 2018. Demographics, disease and admission characteristics, and end-of-life care utilization were recorded. Following a multidisciplinary consensus review process, admissions were determined to be either “avoidable” or “unavoidable.” Generalized estimating equation logistic regression models assessed risks and outcomes associated with avoidable admissions.Results:In all, 319 admissions for 188 patients with a median age of 66 years (IQR, 59–74 years) were included. Cancer-related symptoms accounted for 65% of hospitalizations. Common causes of unavoidable hospitalizations were unexpected disease progression causing symptoms, chronic obstructive pulmonary disease exacerbation, and infection. Of the 47 hospitalizations identified as avoidable (15%), the median overall survival was 1.6 months compared with 9.7 months (hazard ratio, 2.07; 95% CI, 1.34–3.19; P<.001) for unavoidable hospitalizations. Significant reasons for avoidable admissions included cancer-related pain (P = .02), hypervolemia (P = .03), patient desire to initiate hospice services (P = .01), and errors in medication reconciliation or distribution (P<.001). Errors in medication management caused 26% of the avoidable hospitalizations. Of admissions in patients receiving immunotherapy (n = 102) or targeted therapy (n = 44), 9% were due to adverse effects of treatment. Patients receiving immunotherapy and targeted therapy were at similar risk of avoidable hospitalizations compared with patients not receiving treatment (P = .3 and P = .1, respectively).Conclusions:We found that 15% of hospitalizations among patients with lung cancer were potentially avoidable. Uncontrolled symptoms, delayed implementation of end-of-life care, and errors in medication reconciliation were associated with avoidable inpatient admissions. Symptom management tools, palliative care integration, and medication reconciliations may mitigate hospitalization risk.","Idiopathic pulmonary fibrosis (IPF) represents a grave challenge as it is characterized by high fatality rates and irreversible progression without effective clinical interventions available at present. Previous studies have demonstrated that inhibition of heat shock protein 90 (HSP90) by an N-terminal inhibitor disrupts its interaction with TGFβRII, leading to the instability of TGFβRII, thus blocking the role of transforming growth factor-β1 (TGF-β1), which could potentially ameliorate IPF symptoms. However, given that the broad spectrum of HSP90 N-terminal inhibitors may lead to unanticipated side effects, we hypothesize that C-terminal inhibitors of HSP90 can interfere with TGFβRII while minimizing adverse reactions. In this study, silybin, a C-terminal inhibitor of HSP90, was separated into monomers, and silybin A was screened for its superior efficacy against TGFβRII. To facilitate targeted therapy for treating IPF, a cell membrane hybrid liposome loaded with silybin A (Cm-A-Lip) was developed to deliver silybin A to lung fibroblasts through pulmonary drug delivery. A bleomycin-induced IPF mouse model was used to evaluate the efficacy of Cm-A-Lip. By examination of lung hydroxyproline content, wet weight, histology, and inflammatory factor expression, the results showed that pulmonary delivery of Cm-A-Lip could increase the drug retention time in lung tissue compared with intravenous injection. Furthermore, Cm-A-Lip exhibited superior antifibrotic activity relative to conventional liposmomes loaded with silybin A (A-Lip) while concurrently mitigating systemic inflammatory responses associated with silybin A administration, thus enhancing the overall safety profile.",0
"ABSTRACTCirculating tumor DNA (ctDNA) represents a powerful measure of minimal residual disease (MRD) in colorectal cancer (CRC). Although immunotherapy has been widely established in metastatic CRC that is mismatch repair deficient or microsatellite instability-high (dMMR/MSI-H), its role in non-metastatic CRC is rapidly evolving. In resected, dMMR/MSI-H stage II CRC, adjuvant fluoropyrimidine has no benefit and is not recommended. There is growing evidence to suggest diminished benefit from neoadjuvant chemotherapy and chemoradiation in localized CRC that is dMMR/MSI-H. We present two cases of dMMR/MSI-H stage III CRC treated with definitive surgery wherein adjuvant oxaliplatin-based chemotherapy led to a failure to clear postoperative plasma ctDNA levels, prompting a change to immune checkpoint blockade with pembrolizumab and resultant ctDNA clearance. We illustrate that chemotherapy may achieve suboptimal disease control in localized colon cancer that is dMMR/MSI-H, while plasma ctDNA offers a window of opportunity to gauge the efficacy of oxaliplatin-based adjuvant chemotherapy to clear microscopic disease in resected, dMMR/MSI-H stage III colon cancer. These findings are important to contextualize given that relapse is inevitable with failure to clear MRD in the postoperative stage I-III CRC setting whereby chemotherapy remains the standard adjuvant therapy in resected, dMMR/MSI-H stage III colon cancer.","Anti-GD2 monoclonal antibodies (mAb) improve the prognosis of high-risk neuroblastoma (HR-NB). Worldwide experience almost exclusively involves toddlers and older patients treated after multi-modality or 2nd-line therapies, that is, many months post-diagnosis. In contrast, at our center, infants received anti-GD2 mAbs because this immunotherapy started during or immediately after induction chemotherapy. We now report on the feasibility, safety, and long-term survival in this vulnerable age group.Thirty-three HR-NB patients were <19 months old when started on 3F8 (murine mAb; n=21) or naxitamab (humanized-3F8; n=12), with 30-90” intravenous infusions. Patients received analgesics and antihistamines. Common toxicities (pain, urticaria, cough) were manageable, allowing outpatient treatment. Capillary leak, posterior reversible encephalopathy syndrome, and mAb-related long-term toxicities did not occur. Two 3F8 cycles were aborted due to bradycardia (a pre-existing condition) and asthmatic symptoms, respectively. One patient received ½ dose of day 1 naxitamab because of hypotension; full doses were subsequently administered. Post-mAb treatments included chemotherapy, radiotherapy, and anti-NB vaccine. Among 3F8 patients, 17/21 are in complete remission off all treatment at 5.6+-to-24.1+ (median 13.4+) years from diagnosis. Among naxitamab patients, 10/12 remain relapse-free post-mAb at 1.7+-to-4.3+ (median 3.1+) years from diagnosis. Toxicity was similar with short outpatient infusions and matched that observed with these and other anti-GD2 mAbs in older patients. These findings were reassuring given that naxitamab is dosed >2.5x higher (~270mg/m2/cycle) than 3F8, dinutuximab, and dinutuximab beta (70-100mg/m2/cycle). HR-NB in infants proved to be highly curable.",1
"PurposeCancer vaccine (CV) has thrived as a promising tool for cancer prevention and treatment. However, how to maintain the integrity and diversity of individualized vaccine antigens and activate the adaptive immune system is still challenging.MethodsHerein, a preventive and therapeutic vaccine platform for in situ effective multi-model synergistic therapy is developed. In our study, we process B16F10 cells by liquid nitrogen frozen (LNF) to obtain LNF cells, the characterization of LNF cells were conducted. Moreover, the anti-tumor effect and immune activation ability were studied, and the role as a CV were investigated.ResultsThe LNF cells preserve intact cellular structure and tumor-associated self-antigen gp100. Moreover, LNF cells have the ability of loading and releasing doxorubicin (DOX). Except for the anti-tumor effect of chemotherapy brought by DOX, the LNF cells can promote the maturation of dendritic cells (DCs) and induce immune response by activating CD4+ and CD8+ T cells, particularly with the existence of adjuvant, R848. Specifically, the CD8+ T cells of mice in LNF-DOX/R848 group are 6 times of that in PBS group in tumor microenvironment, and twice in spleen. Therefore, LNF cells can also be utilized as a CV. Vaccination with LNF/R848 cells effectively suppress the tumor growth in mice by fivefold as compared to the control group.ConclusionIn this work, we obtain the LNF cells with a simple procedure. The LNF cells not only provides a tumor cells-based multi-modal system for cancer therapy but inspires new insights into future development of individualized CVs strategies.Graphical AbstractThis study processes live B16F10 cells by liquid nitrogen frozen to obtain LNF cells, which preserve cell integrity and homologous targeting ability. The LNF cells can load and deliver drug and can serve as tumor vaccine. Results demonstrated the LNF cells have effective prophylactic ability, and ideal anti-tumor ability with the loaded drug and adjuvant. Supplementary InformationThe online version contains supplementary material available at 10.1007/s00432-023-05117-y.","ABSTRACTAutophagy, a lysosome-dependent protein degradation mechanism, is a highly conserved catabolic process seen in all eukaryotes. This cell protection system, which is present in all tissues and functions at a basic level, can be up- or downregulated in response to various stresses. A disruption in the natural route of the autophagy process is frequently followed by an interruption in the inherent operation of the body’s cells and organs. Probiotics are live bacteria that protect the host through various mechanisms. One of the processes through which probiotics exert their beneficial effects on various cells and tissues is autophagy. Autophagy can assist in maintaining host homeostasis by stimulating the immune system and affecting numerous physiological and pathological responses. In this review, we particularly focus on autophagy impairments occurring in several human illnesses and investigate how probiotics affect the autophagy process under various circumstances.Abbreviation: AD: Alzheimer disease; AKT: AKT serine/threonine kinase; AMPK: 5′AMP-activated protein kinase; ATG: autophagy related; CCl4: carbon tetrachloride; CFS: cell-free supernatant; CMA: chaperone-mediated autophagy; CRC: colorectal cancer; EPS: L. plantarum H31 exopolysaccharide; HD: Huntington disease; HFD: high-fat diet; HPV: human papillomavirus; IFNG/IFN-γ: interferon gamma; IL6: interleukin 6; LGG: L. rhamnosus GG; LPS: lipopolysaccharide; MTOR: mechanistic target of rapamycin kinase; MTORC1: MTOR complex 1; NAFLD: non-alcoholic fatty liver disease; NASH: non-alcoholic steatohepatitis; PD: Parkinson disease; Pg3G: pelargonidin-3-O-glucoside; PI3K: phosphoinositide 3-kinase; PolyQ: polyglutamine; ROS: reactive oxygen species; SCFAs: short-chain fatty acids; SLAB51: a novel formulation of lactic acid bacteria and bifidobacteria; Slp: surface layer protein (of acidophilus NCFM); SNCA: synuclein alpha; ULK1: unc-51 like autophagy-activating kinase 1; YB: B. longum subsp. infantis YB0411; YFP: yeast fermentate prebiotic.",0
"PurposeImmune checkpoint inhibitor (ICI)-associated myocarditis is a rare but severe complication for patients treated with immunotherapy. This study aims to explore the predictive significance of patients’ clinical features and examination results for the severity of ICI-associated myocarditis.MethodsData from a real-world cohort of 81 cancer patients who developed ICI-associated myocarditis after immunotherapy were retrospectively analyzed. The development of myocarditis of Common Terminology Criteria for Adverse Events (CTCAE) grades 3–5 and/or the major adverse cardiovascular event (MACE) was set as endpoints. Logistic regression was used to evaluate the predictive value of each factor.ResultsCTCAE grades 3–5 and MACE developed in 43/81 (53.1%) and 28/81 (34.6%) cases, respectively. The likelihood of CTCAE grades 3–5 and MACE increased with the accumulation of organs affected by the ICI-associated adverse events and initial clinical symptoms. Concurrent systematic therapies during ICI treatment did not raise the risk of myocarditis severity, while prior chemotherapy did. Besides classical serum cardiac markers, a higher neutrophil ratio was also related to poorer cardiac outcomes, whereas higher lymphocyte and monocyte ratios were predictors of favorable cardiac outcomes. The CD4+ T cell ratio and CD4/CD8 ratio were negatively related to CTCAE grades 3–5. Several cardiovascular magnetic resonance parameters were associated with myocarditis severity, whereas the predictive value of echocardiography and electrocardiogram was weak.ConclusionThis study comprehensively evaluated the prognostic value of patients’ clinical characteristics and examination results and identified several predictors of severe ICI-associated myocarditis, which will facilitate early detection of severe ICI-associated myocarditis in patients receiving immunotherapy.Supplementary InformationThe online version contains supplementary material available at 10.1007/s00432-023-04782-3.","Type 1 diabetes (T1D) is characterized by the progressive destruction of insulin-producing beta cells in the pancreas. Despite improvements in insulin monitoring techniques, there remains no cure for T1D. Individuals with T1D require lifelong insulin therapy and some develop life-threatening complications. T1D is a complex, multifactorial, autoimmune condition. Understanding why people get T1D and how it progresses has advanced our knowledge of the disease and led to the discovery of specific targets that can be therapeutically manipulated to halt or reverse the course of T1D. Scientists investigating the potential of immunotherapy treatment for the treatment have recently had some encouraging results. Teplizumab, an anti-CD3 monoclonal antibody that has been approved by the FDA, delays the onset of clinical T1D in patients ≥ 8 years of age with preclinical T1D and improves beta cell function. Therapies targeting beta cell health, vitality, and function are now thought to be an essential component of successful combination therapy for T1D. The idea that the beta cells themselves may influence their own destruction during the development of T1D is a notion that has recently been gaining acceptance in the field. Researchers have recently made remarkable strides in beta cell replacement therapy and beta cell regeneration techniques. This review offers a detailed exploration of the pathophysiological mechanisms of T1D. It discusses the intricate interplay of factors leading to T1D development and the innovative approaches being explored to discover new treatments and a cure for the millions of people living with T1D worldwide.",0
